"Isolate","Stx_type","virulencefinder_stx_complete","contig_stx_blast_assembly","fragmentation_status","Tool","complete_genomes","stx_value","stx_profile"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",10,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Roary",50,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",50,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Roary",90,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",90,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","Roary",100,3,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,2,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","Roary",100,1,"stx2a; stx2a; stx2c"
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c"
