"isolate__autocolour","ST__autocolour","Serotype__autocolour","SRA__autocolour","Biosample__autocolour","benchmark_included__autocolour","stx_profile__autocolour","stx_count__autocolour","plasmid_profile__autocolour","plasmid_count__autocolour","ST_plot__autocolour","Serotype_plot__autocolour","plasmid_profile_plot__autocolour","stx_profile_plot__autocolour"
"GCF_000258025.1_ASM25802v1","1079","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000258145.1_ASM25814v1","1079","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000262125.1_ASM26212v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000269645.1_PB_Esch_coli_MG12655_V1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000270105.1_ASM27010v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000273425.1_Esch_coli_MG12655_V1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000284495.1_ASM28449v1","135","O83:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000285655.3_EC958.v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000299255.1_ASM29925v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000299455.1_ASM29945v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000299475.1_ASM29947v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000332755.1_ASM33275v1","23","O78:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000464955.2_ASM46495v2","672","O104:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000468515.1_ASM46851v1","1079","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000493595.2_EcoPMV1","6134","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000493755.1_ASM49375v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000499485.1_MYMC4100","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000520035.1_ASM52003v1","32","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000520055.1_ASM52005v1","6130","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000597845.1_ASM59784v1","540","O9:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000599625.1_ASM59962v1","540","O9:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000599645.1_ASM59964v1","540","O9:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000599665.1_ASM59966v1","6131","-:H41",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000599685.1_ASM59968v1","6131","-:H41",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000599705.1_ASM59970v1","6131","-:H41",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000618005.3_ASM61800v3","10","O157:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000618905.3_ASM61890v3","381","O39:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000662395.1_ASM66239v1","6130","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000671295.1_ASM67129v1","32","O145:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000714595.1_ASM71459v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000725305.1_ASM72530v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000730345.1_ASM73034v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000732965.1_ASM73296v1","11","O157:H7","SRR1509643","SAMN02905113","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_000743255.1_ASM74325v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000750555.1_ASM75055v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000784925.1_ASM78492v1","648","O1:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000800215.1_ASM80021v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000800765.1_ASM80076v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000801165.1_ASM80116v1","2773","O104:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000801185.2_ASM80118v2","672","O104:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000801205.1_ASM80120v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000803705.1_ASM80370v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000813165.1_ASM81316v1","-","O2/O50:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000814145.2_ASM81414v2","10","O9:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000819645.1_ASM81964v1","88","O78:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000827105.1_ASM82710v1","1011","O157:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000829985.1_ASM82998v1","10","O70:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000830035.1_ASM83003v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000831565.1_ASM83156v1","847","O108:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000833145.1_ASM83314v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000833635.2_ASM83363v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000931565.1_ASM93156v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000952955.1_EcRV308Chr","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000953515.1_EcHMS174Chr","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000967155.2_HUSEC2011CHR1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000968515.1_ASM96851v1","10","O12:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000971615.1_ASM97161v1","5082","-:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974405.1_ASM97440v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974465.1_ASM97446v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974505.1_ASM97450v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974535.1_ASM97453v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974575.1_ASM97457v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974825.1_ASM97482v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974865.1_ASM97486v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000974885.1_ASM97488v1","-","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000978815.2_ASM97881v2","11","-:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000978845.2_ASM97884v2","11","O157:H7","SRR14419383","SAMN03470766","yes","stx2a; stx2c",2,"25",1,"11","O157:H7","25","stx2a; stx2c"
"GCF_000981485.1_EcoliK12AG100","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000986765.1_ASM98676v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000987875.1_ASM98787v1","48","O78:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000988355.1_ASM98835v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000988385.1_ASM98838v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000988425.1_ASM98842v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000988465.1_ASM98846v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001007915.1_ASM100791v1","99","O96:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001020945.2_ASM102094v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001021005.2_ASM102100v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001021595.1_ASM102159v1","416","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001021615.1_APECO18","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001021635.2_ASM102163v2","117","O2:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001029125.1_ASM102912v1","46","O9:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001039415.1_ASM103941v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001043215.1_ASM104321v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001051135.1_ASM105113v1","23","O78:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001183645.1_ASM118364v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001183665.1_ASM118366v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001183685.1_ASM118368v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001276585.2_ASM127658v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001280325.1_ASM128032v1","95","O1:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001280345.1_ASM128034v1","95","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001280385.1_ASM128038v1","95","O1:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001280405.1_ASM128040v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001307215.1_ASM130721v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001308065.1_ASM130806v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001308125.1_ASM130812v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001308165.1_ASM130816v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001420935.1_ASM142093v1","119","O165:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001420955.1_ASM142095v1","117","O119:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001442495.1_ASM144249v1","410","-:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001469815.1_ASM146981v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001485455.1_ASM148545v1","648","O51:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001513615.1_ASM151361v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001513635.1_ASM151363v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001515725.1_ASM151572v1","23","O78:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001544635.1_ASM154463v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001558995.2_ASM155899v2","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001559615.2_ASM155961v2","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001559635.1_ASM155963v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001559655.1_ASM155965v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001559675.1_ASM155967v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001566335.1_ASM156633v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001566615.1_ASM156661v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001566635.1_ASM156663v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001566675.1_ASM156667v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001577325.1_ASM157732v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001593565.1_ASM159356v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001610755.1_ASM161075v1","167","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001612475.1_ASM161247v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001612495.1_ASM161249v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001617565.1_ASM161756v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001618325.1_ASM161832v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001618345.2_ASM161834v2","131","O153:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001618365.1_ASM161836v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001644725.1_ASM164472v1","1727","-:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001644745.1_ASM164474v1","335","O55:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001645235.2_ASM164523v2","17","O153:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001650275.1_ASM165027v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001650295.1_ASM165029v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001651925.2_ASM165192v2","11","O157:H7","SRR2914453","SAMN04191551","yes","stx1a; stx2c",2,"25",1,"11","O157:H7","25","stx1a; stx2c"
"GCF_001651945.2_ASM165194v2","11","O157:H7","SRR2914455","SAMN04191553","yes","stx1a; stx2c",2,"17",1,"11","O157:H7","Other","stx1a; stx2c"
"GCF_001651965.2_ASM165196v2","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001660565.1_ASM166056v1","7060","O102:H30",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001660585.1_ASM166058v1","998","O2:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001663075.1_ASM166307v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001663475.1_ASM166347v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001675145.1_ASM167514v1","127","O6:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001677475.2_ASM167747v2","1176","O36:H14",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001677495.1_ASM167749v1","718","O168:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001677515.1_ASM167751v1","329","O136:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001678925.1_ASM167892v1","93","O7:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001678965.1_ASM167896v1","718","O168:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001679985.1_ASM167998v1","7051","O160:H40",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001682305.2_ASM168230v2","744","O89:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001683435.1_ASM168343v1","127","O6:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001693315.1_ASM169331v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001693635.1_ASM169363v1","359","O177:H21",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001695515.1_ASM169551v1","11","O157:H7","SRR3191403","SAMN04510563","yes","stx1a; stx2c",2,"25",1,"11","O157:H7","25","stx1a; stx2c"
"GCF_001721125.1_ASM172112v1","21","O26:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001721225.1_ASM172122v1","-","O145:H25",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001721525.1_ASM172152v1","648","O1:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001723505.1_ASM172350v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001735705.1_ASM173570v1","-","-:H32",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001750845.1_ASM175084v1","4","O6:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001753445.1_ASM175344v1","11","O157:H7","SRR3195851","SAMN04447635","yes","stx2c",1,"25",1,"11","O157:H7","25","stx2c"
"GCF_001753465.1_ASM175346v1","11","O157:H7","SRR3195839","SAMN04447629","yes","stx2c",1,"25",1,"11","O157:H7","25","stx2c"
"GCF_001753485.1_ASM175348v1","11","O157:H7","SRR3195840","SAMN04447624","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_001753505.1_ASM175350v1","11","O157:H7","SRR3195852","SAMN04447630","yes","stx2c",1,"25",1,"11","O157:H7","25","stx2c"
"GCF_001753525.1_ASM175352v1","11","O157:H7","SRR3195836","SAMN04447632","yes","stx2c",1,"25",1,"11","O157:H7","25","stx2c"
"GCF_001753545.1_ASM175354v1","11","O157:H7","SRR3195765","SAMN04447623","yes","stx1a; stx2a",2,"26",1,"11","O157:H7","26","stx1a; stx2a"
"GCF_001753565.1_ASM175356v1","11","O157:H7","SRR3195841","SAMN04447636","yes","stx2c",1,"25",1,"11","O157:H7","25","stx2c"
"GCF_001806265.1_ASM180626v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001806285.1_ASM180628v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001860505.1_ASM186050v1","167","O89:H17",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001865295.1_ASM186529v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001874485.1_ASM187448v1","131","O25:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886535.1_ASM188653v1","617","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886555.1_ASM188655v1","617","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886575.1_ASM188657v1","617","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886755.1_ASM188675v1","617","O89:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886895.1_ASM188689v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001886935.1_ASM188693v1","679","O163:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001888075.1_ASM188807v1","4","O6:H16",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_001890205.1_ASM189020v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_001890225.1_ASM189022v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
