"isolate","scheme","ST","adk","fumC","gyrB","icd","mdh","purA","recA","Species","O.type","H.type","Serotype","QC","Evidence","GeneScores","AlleleKeys","GeneIdentities...","GeneCoverages...","GeneContigNames","GeneRanges","GeneLengths","Database","Warnings","SRA","Biosample","benchmark_included","stx_profile","stx_count","plasmid_profile","plasmid_count","Unique","Distinct","Total","Max_count","rep_types","rep_frac_distinct","rep_frac_total"
"GCF_000013305.1_ASM1330v1","ecoli_achtman_4","127","adk(13)","fumC(14)","gyrB(19)","icd(36)","mdh(23)","purA(11)","recA(10)","-","O6","H31","O6:H31","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O6-1-wzx-origin;O6-7-wzy-origin;H31-2-fliC-origin;","100;100;100;","100;100;100;","NC_008253.1;NC_008253.1;NC_008253.1;","2149283-2150539;2147940-2149283;1904774-1906441;","1257;1344;1668;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4789765,4836681,4938900,57,46916,0.0097,0.030196
"GCF_000014845.1_ASM1484v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O1","H7","O1:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O1-5-wzx;O1-6-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NC_008563.1;NC_008563.1;NC_008563.1;","2195479-2196705;2192209-2193213;2007082-2008839;","1227;1005;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5292499,5367997,5496467,46,75498,0.014064,0.037109
"GCF_000017745.1_ASM1774v1","ecoli_achtman_4","1132","adk(6)","fumC(213)","gyrB(33)","icd(1)","mdh(24)","purA(8)","recA(7)","-","-","H28","-:H28","-","Based on 1 allele(s)","fliC:1;","H28-2-fliC-origin;","99.885;","100;","NC_009801.1;","2128928-2130667;","1740;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4961300,5044579,5249127,45,83279,0.016509,0.054833
"GCF_000017765.1_ASM1776v1","ecoli_achtman_4","46","adk(8)","fumC(7)","gyrB(1)","icd(8)","mdh(8)","purA(8)","recA(6)","-","O9","H4","O9:H4","-","Based on 3 allele(s)","wzm:1;wzt:1;fliC:1;","O9-10-wzm-origin;O9-8-wzt-origin;H4-15-fliC;","100;100;100;","100;100;100;","NC_009800.1;NC_009800.1;NC_009800.1;","2151410-2152195;2150112-2151407;2021579-2022628;","786;1296;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4509339,4536841,4643497,64,27502,0.006062,0.028892
"GCF_000017985.1_ASM1798v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-14-wzx;O7-39-wzy;","100;100;","100;100;","NC_012967.1;NC_012967.1;","2041386-2042817;2036955-2037681;","1432;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4489628,4526038,4629792,78,36410,0.008045,0.030274
"GCF_000019385.1_ASM1938v1","ecoli_achtman_4","3021","adk(8)","fumC(7)","gyrB(4)","icd(8)","mdh(8)","purA(18)","recA(233)","-","O146","H20","O146:H20","-","Based on 3 allele(s)","wzx:0.994;wzy:0.997;fliC:0.98;","O146-1-wzx-origin;O146-2-wzy-origin;H20-4-fliC;","99.35;99.661;97.866;","100;100;100;","NC_010468.1;NC_010468.1;NC_010468.1;","1786050-1787588;1789951-1791129;1912864-1914582;","1539;1179;1734;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4598223,4641246,4746198,84,43023,0.00927,0.031178
"GCF_000019425.1_ASM1942v1","ecoli_achtman_4","1060","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(128)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;99.866;","100;100;100;","NC_010473.1;NC_010473.1;NC_010473.1;","2197369-2198616;2195092-2196258;2091142-2092638;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4312939,4459021,4686075,73,146082,0.032761,0.079627
"GCF_000019645.1_ASM1964v1","ecoli_achtman_4","354","adk(85)","fumC(88)","gyrB(78)","icd(29)","mdh(59)","purA(58)","recA(62)","-","O153","H34","O153:H34","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O153-3-wzx-origin;O153-4-wzy-origin;H34-5-fliC;","100;100;100;","100;100;100;","NC_010498.1;NC_010498.1;NC_010498.1;","1049057-1050235;1046922-1048100;1255771-1257408;","1179;1179;1638;","v1.0 (11-03-2020)","High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)",NA,NA,"no",NA,NA,NA,NA,5059564,5109402,5215277,34,49838,0.009754,0.029857
"GCF_000021125.1_ASM2112v1","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NC_011353.1;NC_011353.1;NC_011353.1;","2748053-2749444;2750146-2751312;2531990-2533747;","1392;1167;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5157249,5326094,5704111,62,168845,0.031701,0.095872
"GCF_000022225.1_ASM2222v1","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NC_013008.1;NC_013008.1;NC_013008.1;","2747034-2748425;2749127-2750293;2530971-2532728;","1392;1167;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5135023,5289500,5622697,62,154477,0.029204,0.086733
"GCF_000022345.1_ASM2234v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NC_012759.1;NC_012759.1;NC_012759.1;","1998844-2000091;1996567-1997733;1892617-1894113;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4435424,4472363,4578139,75,36939,0.008259,0.031173
"GCF_000022665.1_ASM2266v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-2-wzx-origin;O7-39-wzy;","100;100;","100;100;","NC_012971.2;NC_012971.2;","2007194-2008618;2002756-2003482;","1425;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4425512,4459738,4558933,78,34226,0.007674,0.029266
"GCF_000023365.1_ASM2336v1","ecoli_achtman_4","1060","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(128)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NC_017625.1;NC_017625.1;NC_017625.1;","1768471-1769718;1770829-1771995;1874449-1875945;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4494886,4528500,4630687,81,33614,0.007423,0.029326
"GCF_000023665.1_ASM2366v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","H48","O7:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O7-2-wzx-origin;O7-39-wzy;H48-1-fliC-origin;","100;100;100;","100;100;100;","NC_012947.1;NC_012947.1;NC_012947.1;","1731190-1732614;1736326-1737052;1833731-1835227;","1425;727;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4430954,4466481,4570918,76,35527,0.007954,0.030621
"GCF_000025165.1_ASM2516v1","ecoli_achtman_4","335","adk(29)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O55","H7","O55:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O55-1-wzx-origin;O55-4-wzy-origin;H7-1-fliC-origin;","100;100;100;","100;100;100;","NC_013941.1;NC_013941.1;NC_013941.1;","2558943-2560220;2560238-2561215;2394220-2395977;","1278;978;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5158765,5263303,5452313,64,104538,0.019862,0.053839
"GCF_000025745.1_ASM2574v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NC_017628.1;NC_017628.1;NC_017628.1;","2323572-2324819;2322325-2323513;2062101-2063858;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4950528,5009064,5108363,48,58536,0.011686,0.030897
"GCF_000026245.1_ASM2624v1","ecoli_achtman_4","678","adk(6)","fumC(6)","gyrB(5)","icd(136)","mdh(9)","purA(7)","recA(7)","-","O104","H4","O104:H4","-","Based on 3 allele(s)","wzx:0.999;wzy:1;fliC:1;","O104-8-wzx;O104-13-wzy;H4-2-fliC-origin;","99.923;100;100;","100;100;100;","NC_011748.1;NC_011748.1;NC_011748.1;","2333246-2334541;2335752-2336864;2187878-2188927;","1296;1113;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4915375,4990300,5154842,49,74925,0.015014,0.046455
"GCF_000026265.1_ASM2626v1","ecoli_achtman_4","1128","adk(9)","fumC(65)","gyrB(5)","icd(1)","mdh(9)","purA(8)","recA(6)","-","O8","H19","O8:H19","-","Based on 3 allele(s)","wzm:1;wzt:1;fliC:1;","O8-16-wzm;O8-32-wzt;H19-4-fliC;","100;100;99.945;","100;100;100;","NC_011741.1;NC_011741.1;NC_011741.1;","2155947-2156741;2154733-2155947;2065238-2067069;","795;1215;1832;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4557410,4606148,4700540,48,48738,0.010581,0.03045
"GCF_000026285.1_ASM2628v2","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O45","H7","O45:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O45-2-wzx-origin;O45-5-wzy-origin;H7-3-fliC-origin;","100;100;100;","100;100;100;","NC_011742.1;NC_011742.1;NC_011742.1;","2105113-2106375;2103065-2104156;1954290-1956047;","1263;1092;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4988042,5050740,5166081,57,62698,0.012414,0.034463
"GCF_000026345.1_ASM2634v1","ecoli_achtman_4","62","adk(28)","fumC(33)","gyrB(25)","icd(29)","mdh(7)","purA(11)","recA(24)","-","O7","H45","O7:H45","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:0.99;","O7-7-wzx;O7-39-wzy;H45-5-fliC;","100;100;99.414;","100;100;100;","NC_011750.1;NC_011750.1;NC_011750.1;","1045288-1046718;1050423-1051149;1203228-1204934;","1431;727;1707;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4836452,4899323,5132048,41,62871,0.012833,0.057598
"GCF_000026545.1_ASM2654v1","ecoli_achtman_4","15","adk(15)","fumC(15)","gyrB(11)","icd(15)","mdh(18)","purA(11)","recA(11)","-","O127","H6","O127:H6","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O127-2-wzx-origin;O127-5-wzy-origin;H6-2-fliC-origin;","100;100;99.939;","100;100;100;","NC_011601.1;NC_011601.1;NC_011601.1;","2223395-2224666;2221571-2222737;2099620-2101266;","1272;1167;1647;","v1.0 (11-03-2020)","High similarity O-antigen group 4:O90/O127 as per A.Iguchi et.al (PMID: 25428893)",NA,NA,"no",NA,NA,NA,NA,4860455,4917635,5069618,38,57180,0.011628,0.041258
"GCF_000027125.1_ASM2712v1","ecoli_achtman_4","414","adk(18)","fumC(22)","gyrB(20)","icd(23)","mdh(5)","purA(15)","recA(4)","-","O44/O17/O77/O106/O73","H18","O44/O17/O77/O106/O73:H18","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O44-1-wzx-origin;O44-1-wzy;H18-1-fliC-origin;","100;100;100;","100;100;100;","NC_017626.1;NC_017626.1;NC_017626.1;","2367296-2368531;2368573-2369904;2174245-2175909;","1236;1332;1665;","v1.0 (11-03-2020)","High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)",NA,NA,"no",NA,NA,NA,NA,5153598,5225382,5355283,59,71784,0.013738,0.037661
"GCF_000091005.1_ASM9100v1","ecoli_achtman_4","21","adk(16)","fumC(4)","gyrB(12)","icd(16)","mdh(9)","purA(7)","recA(7)","-","O26","H11","O26:H11","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O26-1-wzx-origin;O26-2-wzy-origin;H11-4-fliC;","100;100;100;","100;100;100;","NC_013361.1;NC_013361.1;NC_013361.1;","2861987-2863249;2860899-2861921;2715723-2717181;","1263;1023;1459;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5203784,5406732,5855431,55,202948,0.037536,0.111289
"GCF_000148365.1_ASM14836v1","ecoli_achtman_4","73","adk(36)","fumC(24)","gyrB(9)","icd(13)","mdh(17)","purA(11)","recA(25)","-","O25","H1","O25:H1","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O25-3-wzx;O25-5-wzy;H1-1-fliC-origin;","100;100;100;","100;100;100;","NC_017631.1;NC_017631.1;NC_017631.1;","2372093-2373353;2368874-2369936;2149407-2151194;","1261;1063;1788;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4985494,5041186,5132900,48,55692,0.011047,0.028718
"GCF_000148605.1_ASM14860v1","ecoli_achtman_4","643","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(95)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:0.999;wzy:0.998;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","99.92;99.832;100;","100;100;100;","NC_017632.1;NC_017632.1;NC_017632.1;","1395753-1396999;1397058-1398245;1615677-1617434;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4982720,5025700,5098973,48,42980,0.008552,0.022799
"GCF_000167875.2_ASM16787v2","ecoli_achtman_4","381","adk(6)","fumC(4)","gyrB(12)","icd(92)","mdh(24)","purA(18)","recA(7)","-","O111","H9","O111:H9","-","Based on 3 allele(s)","wzx:0.999;wzy:1;fliC:1;","O111-14-wzx;O111-4-wzy-origin;H9-5-fliC;","99.921;100;100;","100;100;100;","NZ_CP035751.1;NZ_CP035751.1;NZ_CP035751.1;","2768583-2769848;2767541-2768593;2567023-2569035;","1266;1053;2013;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4972801,5125354,5445590,60,152553,0.029764,0.086821
"GCF_000183345.1_ASM18334v1","ecoli_achtman_4","135","adk(13)","fumC(39)","gyrB(50)","icd(13)","mdh(16)","purA(37)","recA(25)","-","O83","H1","O83:H1","-","Based on 3 allele(s)","wzx:0.999;wzy:1;fliC:1;","O83-1-wzx-origin;O83-2-wzy-origin;H1-1-fliC-origin;","99.931;100;100;","100;100;100;","NC_017634.1;NC_017634.1;NC_017634.1;","2134492-2135934;2133260-2134495;1970830-1972617;","1443;1236;1788;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4804818,4832386,4894766,62,27568,0.005705,0.018376
"GCF_000184185.1_ASM18418v1","ecoli_achtman_4","1079","adk(6)","fumC(19)","gyrB(14)","icd(16)","mdh(11)","purA(12)","recA(2)","-","O6","H49","O6:H49","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O6-15-wzx;O6-5-wzy-origin;H49-3-fliC;","100;100;100;","100;100;100;","NC_017635.1;NC_017635.1;NC_017635.1;","2249534-2250790;2248191-2249534;2150747-2152441;","1257;1344;1695;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4858307,4911057,5008783,45,52750,0.010741,0.030042
"GCF_000210475.1_ASM21047v1","ecoli_achtman_4","48","adk(6)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O78","H11","O78:H11","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O78-3-wzx;O78-6-wzy;H11-4-fliC;","100;100;100;","100;100;100;","NC_017633.1;NC_017633.1;NC_017633.1;","2335005-2336420;2339147-2340268;2180572-2182030;","1416;1122;1459;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4976408,5082124,5325788,81,105716,0.020802,0.065602
"GCF_000212715.2_ASM21271v2","ecoli_achtman_4","100","adk(10)","fumC(27)","gyrB(5)","icd(10)","mdh(12)","purA(9)","recA(2)","-","O149","H10","O149:H10","-","Based on 3 allele(s)","wzx:0.999;wzy:1;fliC:1;","O149-1-wzx-origin;O149-2-wzy-origin;H10-20-fliC;","99.916;100;99.921;","100;100;100;","NC_017641.1;NC_017641.1;NC_017641.1;","2459606-2460789;2457691-2458755;2307083-2308345;","1185;1065;1263;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5426354,5516379,5666489,76,90025,0.01632,0.042378
"GCF_000219515.2_ASM21951v3","ecoli_achtman_4","5147","adk(154)","fumC(187)","gyrB(22)","icd(52)","mdh(180)","purA(129)","recA(19)","-","O11","H15","O11:H15","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O11-3-wzx;O11-6-wzy;H15-1-fliC-origin;","100;100;100;","100;100;100;","NZ_CP006632.1;NZ_CP006632.1;NZ_CP006632.1;","2220184-2221419;2218218-2219453;2110027-2111715;","1236;1236;1689;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5015459,5060014,5156793,27,44555,0.008805,0.027407
"GCF_000220005.1_ASM22000v2","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O147","H4","O147:H4","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O147-1-wzx-origin;O147-2-wzy-origin;H4-21-fliC;","100;100;100;","100;100;100;","NZ_AGTD01000001.1;NZ_AGTD01000001.1;NZ_AGTD01000001.1;","2452771-2454003;2451528-2452715;2327650-2328699;","1233;1188;1050;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5187718,5347912,5635185,80,160194,0.029954,0.079406
"GCF_000227625.1_ASM22762v1","ecoli_achtman_4","62","adk(28)","fumC(33)","gyrB(25)","icd(29)","mdh(7)","purA(11)","recA(24)","-","O7","H45","O7:H45","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:0.99;","O7-7-wzx;O7-35-wzy;H45-5-fliC;","100;100;99.356;","100;100;100;","NC_017646.1;NC_017646.1;NC_017646.1;","2372584-2374014;2368154-2369328;2219051-2220757;","1431;1175;1707;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5114505,5189687,5378629,34,75182,0.014487,0.049106
"GCF_000233875.1_ASM23387v1","ecoli_achtman_4","73","adk(36)","fumC(24)","gyrB(9)","icd(13)","mdh(17)","purA(11)","recA(25)","-","O6","H1","O6:H1","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;","100;100;100;","100;100;100;","NC_017651.1;NC_017651.1;NC_017651.1;","2337633-2338889;2336290-2337633;2093233-2095020;","1257;1344;1788;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4883758,4942981,5038366,54,59223,0.011981,0.030686
"GCF_000233895.1_ASM23389v1","ecoli_achtman_4","73","adk(36)","fumC(24)","gyrB(9)","icd(13)","mdh(17)","purA(11)","recA(25)","-","O6","H1","O6:H1","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;","100;100;100;","100;100;100;","NC_017652.1;NC_017652.1;NC_017652.1;","2337633-2338889;2336290-2337633;2093233-2095020;","1257;1344;1788;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4883734,4942969,5038366,54,59235,0.011984,0.030691
