Isolate,complete_description,Stx_type,No_of_stx_gene_roary_assembly
SRR10506462,Shiga toxin Stx2a subunit B,stx_B,1
SRR10506462,Shiga toxin Stx2c subunit A,stx_A,1
SRR10520171,Shiga toxin Stx2c subunit B,stx_B,1
SRR10520171,Shiga toxin Stx2c subunit A,stx_A,1
SRR10520171,Shiga toxin Stx1a subunit A,stx_A,1
SRR10520171,Shiga toxin Stx1a subunit B,stx_B,1
SRR13160357,Shiga toxin Stx2c subunit B,stx_B,1
SRR13160357,Shiga toxin Stx2c subunit A,stx_A,1
SRR13160357,Shiga toxin Stx1a subunit A,stx_A,1
SRR13160357,Shiga toxin Stx1a subunit B,stx_B,1
SRR13160359,Shiga toxin Stx1a subunit A,stx_A,1
SRR13160359,Shiga toxin Stx1a subunit B,stx_B,1
SRR13160359,Shiga toxin Stx2c subunit A,stx_A,1
SRR13160359,Shiga toxin Stx2a subunit B,stx_B,1
SRR13160360,Shiga toxin Stx2c subunit B,stx_B,1
SRR13160360,Shiga toxin Stx2c subunit A,stx_A,2
SRR13160360,Shiga toxin Stx2a subunit B,stx_B,1
SRR13167188,Shiga toxin Stx1a subunit A,stx_A,1
SRR13167188,Shiga toxin Stx1a subunit B,stx_B,1
SRR13167188,Shiga toxin Stx2a subunit B,stx_B,1
SRR13167188,Shiga toxin Stx2c subunit A,stx_A,1
SRR14419375,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419375,Shiga toxin Stx2c subunit A,stx_A,1
SRR14419377,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419377,Shiga toxin Stx2c subunit A,stx_A,1
SRR14419377,Shiga toxin Stx1a subunit A,stx_A,1
SRR14419377,Shiga toxin Stx1a subunit B,stx_B,1
SRR14419379,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419379,Shiga toxin Stx2c subunit A,stx_A,2
SRR14419379,Shiga toxin Stx2a subunit B,stx_B,1
SRR14419381,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419381,Shiga toxin Stx2c subunit A,stx_A,2
SRR14419381,Shiga toxin Stx2a subunit B,stx_B,1
SRR14419383,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419383,Shiga toxin Stx2c subunit A,stx_A,2
SRR14419383,Shiga toxin Stx2a subunit B,stx_B,1
SRR14419387,Shiga toxin Stx2c subunit B,stx_B,1
SRR14419387,Shiga toxin Stx2c subunit A,stx_A,2
SRR14419387,Shiga toxin Stx2a subunit B,stx_B,1
SRR1509643,Shiga toxin Stx1a subunit A,stx_A,1
SRR1509643,Shiga toxin Stx1a subunit B,stx_B,1
SRR1509643,Shiga toxin Stx2a subunit B,stx_B,1
SRR1509643,Shiga toxin Stx2c subunit A,stx_A,1
SRR15277995,Shiga toxin Stx1a subunit A,stx_A,1
SRR15277995,Shiga toxin Stx1a subunit B,stx_B,1
SRR15277995,Shiga toxin Stx2a subunit B,stx_B,2
SRR15277995,Shiga toxin Stx2c subunit A,stx_A,2
SRR15277999,Shiga toxin Stx1a subunit A,stx_A,1
SRR15277999,Shiga toxin Stx1a subunit B,stx_B,1
SRR15277999,Shiga toxin Stx2a subunit B,stx_B,2
SRR15277999,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376141,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376141,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376141,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376142,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376142,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376142,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376143,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376143,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376143,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376144,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376144,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376144,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376145,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376145,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376145,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376146,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376146,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376146,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376147,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376147,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376147,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376149,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376149,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376149,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376150,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376150,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376150,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376151,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376151,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376151,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376152,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376152,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376152,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376153,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376153,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376153,Shiga toxin Stx2a subunit B,stx_B,1
SRR15376154,Shiga toxin Stx2c subunit B,stx_B,1
SRR15376154,Shiga toxin Stx2c subunit A,stx_A,2
SRR15376154,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415532,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415532,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415532,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415532,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415538,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415538,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415538,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415538,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415539,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415539,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415539,Shiga toxin Stx2a subunit B,stx_B,2
SRR15415539,Shiga toxin Stx2c subunit A,stx_A,2
SRR15415540,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415540,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415542,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415542,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415547,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415547,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415549,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415549,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415549,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415549,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415554,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415554,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415554,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415554,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415555,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415555,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415556,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415556,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415556,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415556,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415557,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415557,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415557,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415557,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415573,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415573,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415573,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415573,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415574,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415574,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415578,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415578,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415580,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415580,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415610,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415610,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415611,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415611,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415613,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415613,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415613,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415613,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415621,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415621,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415622,Shiga toxin Stx1a subunit A,stx_A,1
SRR15415622,Shiga toxin Stx1a subunit B,stx_B,1
SRR15415622,Shiga toxin Stx2a subunit B,stx_B,1
SRR15415622,Shiga toxin Stx2c subunit A,stx_A,1
SRR15415624,Shiga toxin Stx2c subunit B,stx_B,1
SRR15415624,Shiga toxin Stx2c subunit A,stx_A,2
SRR15415624,Shiga toxin Stx2a subunit B,stx_B,1
SRR15674630,Shiga toxin Stx1a subunit A,stx_A,1
SRR15674630,Shiga toxin Stx1a subunit B,stx_B,1
SRR15674630,Shiga toxin Stx2c subunit A,stx_A,1
SRR15674630,Shiga toxin Stx2c subunit B,stx_B,1
SRR1714120,Shiga toxin Stx2a subunit B,stx_B,1
SRR1714120,Shiga toxin Stx2c subunit A,stx_A,1
SRR23929852,Shiga toxin Stx1a subunit A,stx_A,1
SRR23929852,Shiga toxin Stx1a subunit B,stx_B,1
SRR25510170,Shiga toxin Stx1a subunit A,stx_A,2
SRR25510170,Shiga toxin Stx1a subunit B,stx_B,2
SRR25510170,Shiga toxin Stx2a subunit B,stx_B,2
SRR25510170,Shiga toxin Stx2c subunit A,stx_A,2
SRR25523643,Shiga toxin Stx1a subunit A,stx_A,1
SRR25523643,Shiga toxin Stx1a subunit B,stx_B,1
SRR25523643,Shiga toxin Stx2a subunit B,stx_B,1
SRR25523643,Shiga toxin Stx2c subunit A,stx_A,1
SRR25523645,Shiga toxin Stx1a subunit A,stx_A,1
SRR25523645,Shiga toxin Stx1a subunit B,stx_B,1
SRR25523645,Shiga toxin Stx2a subunit B,stx_B,1
SRR25523645,Shiga toxin Stx2c subunit A,stx_A,1
SRR25551086,Shiga toxin Stx1a subunit A,stx_A,1
SRR25551086,Shiga toxin Stx1a subunit B,stx_B,1
SRR25551086,Shiga toxin Stx2a subunit B,stx_B,1
SRR25551086,Shiga toxin Stx2c subunit A,stx_A,1
SRR25603927,Shiga toxin Stx1a subunit A,stx_A,1
SRR25603927,Shiga toxin Stx1a subunit B,stx_B,1
SRR25603927,Shiga toxin Stx2a subunit B,stx_B,1
SRR25603927,Shiga toxin Stx2c subunit A,stx_A,1
SRR25603929,Shiga toxin Stx1a subunit A,stx_A,1
SRR25603929,Shiga toxin Stx1a subunit B,stx_B,1
SRR25603929,Shiga toxin Stx2a subunit B,stx_B,1
SRR25603929,Shiga toxin Stx2c subunit A,stx_A,1
SRR25603930,Shiga toxin Stx1a subunit A,stx_A,1
SRR25603930,Shiga toxin Stx1a subunit B,stx_B,1
SRR25603930,Shiga toxin Stx2a subunit B,stx_B,1
SRR25603930,Shiga toxin Stx2c subunit A,stx_A,1
SRR2914453,Shiga toxin Stx2c subunit B,stx_B,1
SRR2914453,Shiga toxin Stx2c subunit A,stx_A,1
SRR2914453,Shiga toxin Stx1a subunit A,stx_A,1
SRR2914453,Shiga toxin Stx1a subunit B,stx_B,1
SRR2914455,Shiga toxin Stx2c subunit B,stx_B,1
SRR2914455,Shiga toxin Stx2c subunit A,stx_A,1
SRR2914455,Shiga toxin Stx1a subunit A,stx_A,1
SRR2914455,Shiga toxin Stx1a subunit B,stx_B,1
SRR3180501,Shiga toxin Stx2c subunit B,stx_B,1
SRR3180501,Shiga toxin Stx2c subunit A,stx_A,2
SRR3180501,Shiga toxin Stx2a subunit B,stx_B,1
SRR3180502,Shiga toxin Stx2a subunit B,stx_B,1
SRR3180502,Shiga toxin Stx2c subunit A,stx_A,1
SRR3180707,Shiga toxin Stx2c subunit B,stx_B,1
SRR3180707,Shiga toxin Stx2c subunit A,stx_A,2
SRR3180707,Shiga toxin Stx2a subunit B,stx_B,1
SRR3191403,Shiga toxin Stx2c subunit B,stx_B,1
SRR3191403,Shiga toxin Stx2c subunit A,stx_A,1
SRR3191403,Shiga toxin Stx1a subunit A,stx_A,1
SRR3191403,Shiga toxin Stx1a subunit B,stx_B,1
SRR3195765,Shiga toxin Stx1a subunit A,stx_A,1
SRR3195765,Shiga toxin Stx1a subunit B,stx_B,1
SRR3195765,Shiga toxin Stx2a subunit B,stx_B,1
SRR3195765,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195836,Shiga toxin Stx2c subunit B,stx_B,1
SRR3195836,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195839,Shiga toxin Stx2c subunit B,stx_B,1
SRR3195839,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195840,Shiga toxin Stx1a subunit A,stx_A,1
SRR3195840,Shiga toxin Stx1a subunit B,stx_B,1
SRR3195840,Shiga toxin Stx2a subunit B,stx_B,1
SRR3195840,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195841,Shiga toxin Stx2c subunit B,stx_B,1
SRR3195841,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195851,Shiga toxin Stx2c subunit B,stx_B,1
SRR3195851,Shiga toxin Stx2c subunit A,stx_A,1
SRR3195852,Shiga toxin Stx2c subunit B,stx_B,1
SRR3195852,Shiga toxin Stx2c subunit A,stx_A,1
SRR3205742,Shiga toxin Stx1a subunit A,stx_A,1
SRR3205742,Shiga toxin Stx1a subunit B,stx_B,1
SRR3205742,Shiga toxin Stx2a subunit B,stx_B,1
SRR3205742,Shiga toxin Stx2c subunit A,stx_A,1
SRR3205757,Shiga toxin Stx2c subunit B,stx_B,1
SRR3205757,Shiga toxin Stx2c subunit A,stx_A,2
SRR3205757,Shiga toxin Stx2a subunit B,stx_B,1
SRR3224568,Shiga toxin Stx2c subunit B,stx_B,1
SRR3224568,Shiga toxin Stx2c subunit A,stx_A,1
SRR3224814,Shiga toxin Stx1a subunit A,stx_A,1
SRR3224814,Shiga toxin Stx1a subunit B,stx_B,1
SRR3224814,Shiga toxin Stx2a subunit B,stx_B,1
SRR3224814,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301494,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301494,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301497,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301497,Shiga toxin Stx2c subunit A,stx_A,2
SRR4301497,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301513,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301513,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301513,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301513,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301514,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301514,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301514,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301514,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301519,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301519,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301519,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301519,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301521,Shiga toxin Stx2c subunit B,stx_B,2
SRR4301521,Shiga toxin Stx2c subunit A,stx_A,2
SRR4301522,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301522,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301525,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301525,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301527,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301527,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301527,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301527,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301531,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301531,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301531,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301531,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301544,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301544,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301544,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301544,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301548,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301548,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301554,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301554,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301555,Shiga toxin Stx2a subunit B,stx_B,1
SRR4301555,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301562,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301562,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301564,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301564,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301569,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301569,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301569,Shiga toxin Stx1a subunit A,stx_A,1
SRR4301569,Shiga toxin Stx1a subunit B,stx_B,1
SRR4301571,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301571,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301574,Shiga toxin Stx2c subunit B,stx_B,2
SRR4301574,Shiga toxin Stx2c subunit A,stx_A,2
SRR4301577,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301577,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301579,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301579,Shiga toxin Stx2c subunit A,stx_A,1
SRR4301588,Shiga toxin Stx2c subunit B,stx_B,1
SRR4301588,Shiga toxin Stx2c subunit A,stx_A,1
SRR5413253,Shiga toxin Stx2c subunit B,stx_B,1
SRR5413253,Shiga toxin Stx2c subunit A,stx_A,1
SRR5413253,Shiga toxin Stx1a subunit A,stx_A,1
SRR5413253,Shiga toxin Stx1a subunit B,stx_B,1
SRR5864678,Shiga toxin Stx2c subunit B,stx_B,1
SRR5864678,Shiga toxin Stx2c subunit A,stx_A,2
SRR5864678,Shiga toxin Stx2a subunit B,stx_B,1
SRR5870510,Shiga toxin Stx2c subunit B,stx_B,1
SRR5870510,Shiga toxin Stx2c subunit A,stx_A,2
SRR5870510,Shiga toxin Stx2a subunit B,stx_B,1
SRR6118141,Shiga toxin Stx2c subunit B,stx_B,1
SRR6118141,Shiga toxin Stx2c subunit A,stx_A,2
SRR6118141,Shiga toxin Stx2a subunit B,stx_B,1
SRR6118142,Shiga toxin Stx2c subunit B,stx_B,1
SRR6118142,Shiga toxin Stx2c subunit A,stx_A,2
SRR6118142,Shiga toxin Stx2a subunit B,stx_B,1
SRR6373397,Shiga toxin Stx2c subunit B,stx_B,1
SRR6373397,Shiga toxin Stx2c subunit A,stx_A,2
SRR6373397,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929601,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929601,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929602,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929602,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929603,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929603,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929604,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929604,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929605,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929605,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929605,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929605,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929606,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929606,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929606,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929606,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929607,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929607,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929607,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929607,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929608,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929608,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929608,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929608,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929609,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929609,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929609,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929609,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929610,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929610,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929610,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929610,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929611,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929611,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929611,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929611,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929612,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929612,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929613,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929613,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929614,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929614,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929615,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929615,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929616,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929616,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929617,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929617,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929618,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929618,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929619,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929619,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929620,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929620,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929621,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929621,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929622,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929622,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929622,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929622,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929623,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929623,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929623,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929623,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929624,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929624,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929625,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929625,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929626,Shiga toxin Stx1a subunit A,stx_A,1
SRR6929626,Shiga toxin Stx1a subunit B,stx_B,1
SRR6929627,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929627,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929628,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929628,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929630,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929630,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929631,Shiga toxin Stx2c subunit B,stx_B,1
SRR6929631,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929632,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929632,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929633,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929633,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929634,Shiga toxin Stx2a subunit B,stx_B,1
SRR6929634,Shiga toxin Stx2c subunit A,stx_A,1
SRR6929635,Shiga toxin Stx1a subunit A,stx_A,1
